RequestID,Type,MemberID,ISBN,BorrowID,Quantity,RequestDate,ActionDate,Status,ProcessedBy,ProcessedDate,Note
1,BORROW,101,123n,0,2,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
2,RETURN,101,,1,2,20-03-2026,20-03-2026,APPROVED,admin,20-03-2026,APPROVED
3,BORROW,103,160m,0,2,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
4,RENEW,103,160m,0,0,16-03-2026,16-03-2026,PENDING,,,
5,BORROW,104,123n,0,1,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
6,BORROW,111,190t,0,2,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
7,BORROW,111,123n,0,1,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
8,RETURN,111,,4,2,24-03-2026,24-03-2026,APPROVED,admin,24-03-2026,APPROVED
9,BORROW,189,156p,0,1,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
10,BORROW,101,156p,0,1,16-03-2026,16-03-2026,REJECTED,admin,16-03-2026,Not avialable please reserve
11,RESERVE,101,156p,0,0,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
12,RESERVE,102,156p,0,0,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
13,RETURN,189,,6,1,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
14,READING_ROOM_ASSIGN,102,,0,0,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
15,READING_ROOM_RELEASE,102,,0,0,16-03-2026,16-03-2026,APPROVED,admin,16-03-2026,APPROVED
